algoritmo,versao,dataset,tamanho,threads,amostra,tempo_ms,obs
Insertion,serial,random,10000,1,1,27.452,
Insertion,serial,random,10000,1,2,16.724,
Insertion,serial,random,10000,1,3,9.770,
Insertion,serial,random,10000,1,4,10.056,
Insertion,serial,random,10000,1,5,10.180,
Insertion,serial,random,50000,1,1,263.221,
Insertion,serial,random,50000,1,2,287.345,
Insertion,serial,random,50000,1,3,288.011,
Insertion,serial,random,50000,1,4,284.931,
Insertion,serial,random,50000,1,5,265.535,
Insertion,serial,random,100000,1,1,1102.784,
Insertion,serial,random,100000,1,2,1031.369,
Insertion,serial,random,100000,1,3,1095.054,
Insertion,serial,random,100000,1,4,1086.918,
Insertion,serial,random,100000,1,5,867.210,
Insertion,serial,reversed,10000,1,1,14.689,
Insertion,serial,reversed,10000,1,2,14.688,
Insertion,serial,reversed,10000,1,3,14.679,
Insertion,serial,reversed,10000,1,4,14.665,
Insertion,serial,reversed,10000,1,5,14.645,
Insertion,serial,reversed,50000,1,1,397.503,
Insertion,serial,reversed,50000,1,2,450.009,
Insertion,serial,reversed,50000,1,3,386.724,
Insertion,serial,reversed,50000,1,4,379.130,
Insertion,serial,reversed,50000,1,5,388.853,
Insertion,serial,reversed,100000,1,1,1572.700,
Insertion,serial,reversed,100000,1,2,1571.031,
Insertion,serial,reversed,100000,1,3,1730.862,
Insertion,serial,reversed,100000,1,4,1786.113,
Insertion,serial,reversed,100000,1,5,1730.820,
Insertion,serial,nearly,10000,1,1,0.190,
Insertion,serial,nearly,10000,1,2,0.204,
Insertion,serial,nearly,10000,1,3,0.272,
Insertion,serial,nearly,10000,1,4,0.216,
Insertion,serial,nearly,10000,1,5,0.232,
Insertion,serial,nearly,50000,1,1,5.321,
Insertion,serial,nearly,50000,1,2,6.814,
Insertion,serial,nearly,50000,1,3,8.767,
Insertion,serial,nearly,50000,1,4,5.433,
Insertion,serial,nearly,50000,1,5,6.291,
Insertion,serial,nearly,100000,1,1,24.564,
Insertion,serial,nearly,100000,1,2,22.569,
Insertion,serial,nearly,100000,1,3,21.892,
Insertion,serial,nearly,100000,1,4,26.195,
Insertion,serial,nearly,100000,1,5,22.785,
Insertion,serial,dupes,10000,1,1,9.739,
Insertion,serial,dupes,10000,1,2,6.943,
Insertion,serial,dupes,10000,1,3,6.661,
Insertion,serial,dupes,10000,1,4,7.677,
Insertion,serial,dupes,10000,1,5,6.465,
Insertion,serial,dupes,50000,1,1,179.064,
Insertion,serial,dupes,50000,1,2,182.343,
Insertion,serial,dupes,50000,1,3,171.807,
Insertion,serial,dupes,50000,1,4,172.533,
Insertion,serial,dupes,50000,1,5,177.735,
Insertion,serial,dupes,100000,1,1,712.345,
Insertion,serial,dupes,100000,1,2,698.283,
Insertion,serial,dupes,100000,1,3,710.417,
Insertion,serial,dupes,100000,1,4,705.966,
Insertion,serial,dupes,100000,1,5,746.962,
Counting,serial,random,10000,1,1,19.878,
Counting,serial,random,10000,1,2,0.500,
Counting,serial,random,10000,1,3,0.461,
Counting,serial,random,10000,1,4,0.487,
Counting,serial,random,10000,1,5,0.471,
Counting,serial,random,50000,1,1,3.336,
Counting,serial,random,50000,1,2,3.078,
Counting,serial,random,50000,1,3,1.826,
Counting,serial,random,50000,1,4,2.335,
Counting,serial,random,50000,1,5,2.446,
Counting,serial,random,100000,1,1,4.527,
Counting,serial,random,100000,1,2,4.423,
Counting,serial,random,100000,1,3,4.955,
Counting,serial,random,100000,1,4,3.849,
Counting,serial,random,100000,1,5,4.183,
Counting,serial,reversed,10000,1,1,0.038,
Counting,serial,reversed,10000,1,2,0.072,
Counting,serial,reversed,10000,1,3,0.035,
Counting,serial,reversed,10000,1,4,0.046,
Counting,serial,reversed,10000,1,5,0.041,
Counting,serial,reversed,50000,1,1,0.204,
Counting,serial,reversed,50000,1,2,0.224,
Counting,serial,reversed,50000,1,3,0.195,
Counting,serial,reversed,50000,1,4,0.199,
Counting,serial,reversed,50000,1,5,0.199,
Counting,serial,reversed,100000,1,1,0.396,
Counting,serial,reversed,100000,1,2,0.451,
Counting,serial,reversed,100000,1,3,0.688,
Counting,serial,reversed,100000,1,4,0.446,
Counting,serial,reversed,100000,1,5,0.420,
Counting,serial,nearly,10000,1,1,0.041,
Counting,serial,nearly,10000,1,2,0.026,
Counting,serial,nearly,10000,1,3,0.029,
Counting,serial,nearly,10000,1,4,0.030,
Counting,serial,nearly,10000,1,5,0.046,
Counting,serial,nearly,50000,1,1,0.183,
Counting,serial,nearly,50000,1,2,0.181,
Counting,serial,nearly,50000,1,3,0.179,
Counting,serial,nearly,50000,1,4,0.210,
Counting,serial,nearly,50000,1,5,0.184,
Counting,serial,nearly,100000,1,1,0.444,
Counting,serial,nearly,100000,1,2,0.369,
Counting,serial,nearly,100000,1,3,0.448,
Counting,serial,nearly,100000,1,4,0.375,
Counting,serial,nearly,100000,1,5,0.392,
