algoritmo,versao,dataset,tamanho,threads,amostra,tempo_ms,speedup,eficiencia,obs
Insertion,serial,random,10000,1,1,10.402,,,
Insertion,serial,random,10000,1,2,11.935,,,
Insertion,serial,random,10000,1,3,10.474,,,
Insertion,serial,random,10000,1,4,12.896,,,
Insertion,serial,random,10000,1,5,10.534,,,
Insertion,serial-summary,random,10000,1,0,10.534,,,median
Insertion,parallel,random,10000,2,1,5.019,2.099,1.049,
Insertion,parallel,random,10000,2,2,4.734,2.225,1.113,
Insertion,parallel,random,10000,2,3,5.426,1.941,0.971,
Insertion,parallel,random,10000,2,4,5.019,2.099,1.049,
Insertion,parallel,random,10000,2,5,4.253,2.477,1.238,
Insertion,parallel,random,10000,4,1,3.487,3.021,0.755,
Insertion,parallel,random,10000,4,2,3.290,3.202,0.800,
Insertion,parallel,random,10000,4,3,3.220,3.271,0.818,
Insertion,parallel,random,10000,4,4,3.037,3.468,0.867,
Insertion,parallel,random,10000,4,5,3.094,3.405,0.851,
Insertion,parallel,random,10000,8,1,2.500,4.214,0.527,
Insertion,parallel,random,10000,8,2,2.318,4.545,0.568,
Insertion,parallel,random,10000,8,3,2.671,3.944,0.493,
Insertion,parallel,random,10000,8,4,2.504,4.207,0.526,
Insertion,parallel,random,10000,8,5,2.364,4.457,0.557,
Insertion,serial,random,50000,1,1,261.191,,,
Insertion,serial,random,50000,1,2,270.979,,,
Insertion,serial,random,50000,1,3,255.393,,,
Insertion,serial,random,50000,1,4,267.695,,,
Insertion,serial,random,50000,1,5,264.190,,,
Insertion,serial-summary,random,50000,1,0,264.190,,,median
Insertion,parallel,random,50000,2,1,83.604,3.160,1.580,
Insertion,parallel,random,50000,2,2,81.724,3.233,1.616,
Insertion,parallel,random,50000,2,3,91.266,2.895,1.447,
Insertion,parallel,random,50000,2,4,114.793,2.301,1.151,
Insertion,parallel,random,50000,2,5,86.093,3.069,1.534,
Insertion,parallel,random,50000,4,1,37.013,7.138,1.784,
Insertion,parallel,random,50000,4,2,38.491,6.864,1.716,
Insertion,parallel,random,50000,4,3,37.638,7.019,1.755,
Insertion,parallel,random,50000,4,4,32.991,8.008,2.002,
Insertion,parallel,random,50000,4,5,35.313,7.481,1.870,
Insertion,parallel,random,50000,8,1,14.397,18.350,2.294,
Insertion,parallel,random,50000,8,2,12.990,20.338,2.542,
Insertion,parallel,random,50000,8,3,12.961,20.384,2.548,
Insertion,parallel,random,50000,8,4,13.503,19.565,2.446,
Insertion,parallel,random,50000,8,5,13.240,19.955,2.494,
Insertion,serial,random,100000,1,1,1565.965,,,
Insertion,serial,random,100000,1,2,776.307,,,
Insertion,serial,random,100000,1,3,778.558,,,
Insertion,serial,random,100000,1,4,789.545,,,
Insertion,serial,random,100000,1,5,779.429,,,
Insertion,serial-summary,random,100000,1,0,779.429,,,median
Insertion,parallel,random,100000,2,1,275.820,2.826,1.413,
Insertion,parallel,random,100000,2,2,326.346,2.388,1.194,
Insertion,parallel,random,100000,2,3,287.514,2.711,1.355,
Insertion,parallel,random,100000,2,4,278.479,2.799,1.399,
Insertion,parallel,random,100000,2,5,281.032,2.773,1.387,
Insertion,parallel,random,100000,4,1,74.098,10.519,2.630,
Insertion,parallel,random,100000,4,2,61.792,12.614,3.153,
Insertion,parallel,random,100000,4,3,95.091,8.197,2.049,
Insertion,parallel,random,100000,4,4,88.283,8.829,2.207,
Insertion,parallel,random,100000,4,5,84.122,9.265,2.316,
Insertion,parallel,random,100000,8,1,32.241,24.175,3.022,
Insertion,parallel,random,100000,8,2,33.379,23.351,2.919,
Insertion,parallel,random,100000,8,3,35.305,22.077,2.760,
Insertion,parallel,random,100000,8,4,32.249,24.169,3.021,
Insertion,parallel,random,100000,8,5,31.891,24.441,3.055,
Insertion,serial,reversed,10000,1,1,14.670,,,
Insertion,serial,reversed,10000,1,2,14.972,,,
Insertion,serial,reversed,10000,1,3,15.140,,,
Insertion,serial,reversed,10000,1,4,19.313,,,
Insertion,serial,reversed,10000,1,5,15.073,,,
Insertion,serial-summary,reversed,10000,1,0,15.073,,,median
Insertion,parallel,reversed,10000,2,1,7.565,1.993,0.996,
Insertion,parallel,reversed,10000,2,2,6.384,2.361,1.181,
Insertion,parallel,reversed,10000,2,3,6.337,2.379,1.189,
Insertion,parallel,reversed,10000,2,4,6.747,2.234,1.117,
Insertion,parallel,reversed,10000,2,5,6.072,2.482,1.241,
Insertion,parallel,reversed,10000,4,1,3.525,4.276,1.069,
Insertion,parallel,reversed,10000,4,2,3.691,4.084,1.021,
Insertion,parallel,reversed,10000,4,3,3.804,3.962,0.991,
Insertion,parallel,reversed,10000,4,4,3.928,3.837,0.959,
Insertion,parallel,reversed,10000,4,5,3.420,4.407,1.102,
Insertion,parallel,reversed,10000,8,1,3.051,4.941,0.618,
Insertion,parallel,reversed,10000,8,2,3.659,4.120,0.515,
Insertion,parallel,reversed,10000,8,3,2.791,5.401,0.675,
Insertion,parallel,reversed,10000,8,4,3.406,4.426,0.553,
Insertion,parallel,reversed,10000,8,5,2.201,6.848,0.856,
Insertion,serial,reversed,50000,1,1,395.076,,,
Insertion,serial,reversed,50000,1,2,387.336,,,
Insertion,serial,reversed,50000,1,3,386.898,,,
Insertion,serial,reversed,50000,1,4,385.217,,,
Insertion,serial,reversed,50000,1,5,391.339,,,
Insertion,serial-summary,reversed,50000,1,0,387.336,,,median
Insertion,parallel,reversed,50000,2,1,125.350,3.090,1.545,
Insertion,parallel,reversed,50000,2,2,139.453,2.778,1.389,
Insertion,parallel,reversed,50000,2,3,98.048,3.950,1.975,
Insertion,parallel,reversed,50000,2,4,104.734,3.698,1.849,
Insertion,parallel,reversed,50000,2,5,126.377,3.065,1.532,
Insertion,parallel,reversed,50000,4,1,42.239,9.170,2.293,
Insertion,parallel,reversed,50000,4,2,43.121,8.982,2.246,
Insertion,parallel,reversed,50000,4,3,42.554,9.102,2.276,
Insertion,parallel,reversed,50000,4,4,43.603,8.883,2.221,
Insertion,parallel,reversed,50000,4,5,37.911,10.217,2.554,
Insertion,parallel,reversed,50000,8,1,15.124,25.610,3.201,
Insertion,parallel,reversed,50000,8,2,13.841,27.985,3.498,
Insertion,parallel,reversed,50000,8,3,14.336,27.018,3.377,
Insertion,parallel,reversed,50000,8,4,14.064,27.541,3.443,
Insertion,parallel,reversed,50000,8,5,13.839,27.988,3.498,
Insertion,serial,reversed,100000,1,1,1570.904,,,
Insertion,serial,reversed,100000,1,2,1555.188,,,
Insertion,serial,reversed,100000,1,3,1568.465,,,
Insertion,serial,reversed,100000,1,4,1602.574,,,
Insertion,serial,reversed,100000,1,5,1584.620,,,
Insertion,serial-summary,reversed,100000,1,0,1570.904,,,median
Insertion,parallel,reversed,100000,2,1,461.125,3.407,1.703,
Insertion,parallel,reversed,100000,2,2,463.222,3.391,1.696,
Insertion,parallel,reversed,100000,2,3,450.055,3.490,1.745,
Insertion,parallel,reversed,100000,2,4,436.469,3.599,1.800,
Insertion,parallel,reversed,100000,2,5,466.348,3.369,1.684,
Insertion,parallel,reversed,100000,4,1,144.587,10.865,2.716,
Insertion,parallel,reversed,100000,4,2,149.867,10.482,2.620,
Insertion,parallel,reversed,100000,4,3,147.096,10.679,2.670,
